Singular	Plural	S Count	P Count	P %
stair	stairs	2	46	0.958333333333
relative	relatives	1	21	0.954545454545
tear	tears	2	32	0.941176470588
mean	means	12	188	0.94
stockholder	stockholders	2	26	0.928571428571
rib	ribs	1	11	0.916666666667
microorganism	microorganisms	1	11	0.916666666667
investor	investors	1	11	0.916666666667
kenning	kennings	1	10	0.909090909091
assessor	assessors	2	19	0.904761904762
subordinate	subordinates	1	9	0.9
gut	guts	1	9	0.9
municipality	municipalities	1	9	0.9
elder	elders	1	9	0.9
ill	ills	1	9	0.9
facility	facilities	11	98	0.899082568807
recruit	recruits	1	8	0.888888888889
accommodation	accommodations	1	8	0.888888888889
survivor	survivors	1	8	0.888888888889
resource	resources	9	72	0.888888888889
bun	buns	1	8	0.888888888889
shipment	shipments	2	15	0.882352941176
narcotic	narcotics	1	7	0.875
accessory	accessories	1	7	0.875
eyelid	eyelids	1	7	0.875
syllable	syllables	1	7	0.875
cosmetic	cosmetics	1	7	0.875
calorie	calories	1	7	0.875
dune	dunes	1	7	0.875
teamster	teamsters	1	7	0.875
circumstance	circumstances	12	82	0.872340425532
planner	planners	2	13	0.866666666667
saving	savings	3	19	0.863636363636
volunteer	volunteers	4	25	0.862068965517
voter	voters	3	18	0.857142857143
stray	strays	1	6	0.857142857143
anastomosis	anastomoses	1	6	0.857142857143
septum	septa	1	6	0.857142857143
workman	workmen	1	6	0.857142857143
crutch	crutches	1	6	0.857142857143
epicycle	epicycles	1	6	0.857142857143
savage	savages	1	6	0.857142857143
duct	ducts	1	6	0.857142857143
troop	troops	9	52	0.852459016393
follower	followers	3	17	0.85
parent	parents	15	81	0.84375
runner	runners	1	5	0.833333333333
congratulation	congratulations	1	5	0.833333333333
adherent	adherents	1	5	0.833333333333
concentrate	concentrates	1	5	0.833333333333
tektite	tektites	1	5	0.833333333333
romantic	romantics	1	5	0.833333333333
resultant	resultants	1	5	0.833333333333
countryman	countrymen	1	5	0.833333333333
batten	battens	3	15	0.833333333333
megaton	megatons	2	10	0.833333333333
retailer	retailers	1	5	0.833333333333
sausage	sausages	1	5	0.833333333333
commercial	commercials	2	10	0.833333333333
invader	invaders	1	5	0.833333333333
shred	shreds	1	5	0.833333333333
cheekbone	cheekbones	1	5	0.833333333333
fireman	firemen	1	5	0.833333333333
shunt	shunts	1	5	0.833333333333
tactic	tactics	4	19	0.826086956522
facet	facets	2	9	0.818181818182
impurity	impurities	2	9	0.818181818182
subsystem	subsystems	2	9	0.818181818182
pamphlet	pamphlets	2	9	0.818181818182
minute	minutes	43	193	0.817796610169
defect	defects	3	13	0.8125
expenditure	expenditures	10	42	0.807692307692
acre	acres	10	42	0.807692307692
milligram	milligrams	5	21	0.807692307692
trader	traders	6	25	0.806451612903
foot	feet	68	283	0.806267806268
mile	miles	42	169	0.800947867299
dynamic	dynamics	1	4	0.8
centimeter	centimeters	2	8	0.8
cooperative	cooperatives	1	4	0.8
settler	settlers	3	12	0.8
belonging	belongings	1	4	0.8
subtlety	subtleties	1	4	0.8
peculiarity	peculiarities	1	4	0.8
inmate	inmates	1	4	0.8
armament	armaments	1	4	0.8
ellipsoid	ellipsoids	1	4	0.8
scripture	scriptures	1	4	0.8
swell	swells	1	4	0.8
trimming	trimmings	1	4	0.8
manual	manuals	1	4	0.8
vineyard	vineyards	1	4	0.8
exploit	exploits	1	4	0.8
giggle	giggles	1	4	0.8
protease	proteases	1	4	0.8
gymnast	gymnasts	1	4	0.8
associate	associates	3	12	0.8
polymer	polymers	1	4	0.8
bushel	bushels	1	4	0.8
clod	clods	1	4	0.8
tranquilizer	tranquilizers	1	4	0.8
mailbox	mailboxes	1	4	0.8
collaborator	collaborators	1	4	0.8
implement	implements	1	4	0.8
dystopia	dystopias	2	8	0.8
newsman	newsmen	1	4	0.8
polyphosphate	polyphosphates	1	4	0.8
broker	brokers	1	4	0.8
bumblebee	bumblebees	2	8	0.8
alveolus	alveoli	1	4	0.8
superior	superiors	1	4	0.8
advisor	advisors	1	4	0.8
aspiration	aspirations	3	12	0.8
oilseed	oilseeds	1	4	0.8
traitor	traitors	1	4	0.8
cube	cubes	1	4	0.8
parasite	parasites	1	4	0.8
shrub	shrubs	1	4	0.8
miner	miners	1	4	0.8
mechanic	mechanics	5	19	0.791666666667
lip	lips	18	68	0.790697674419
proceeding	proceedings	5	18	0.782608695652
delegate	delegates	4	14	0.777777777778
knuckle	knuckles	2	7	0.777777777778
slack	slacks	2	7	0.777777777778
deliberation	deliberations	2	7	0.777777777778
epithet	epithets	2	7	0.777777777778
wrinkle	wrinkles	2	7	0.777777777778
galaxy	galaxies	2	7	0.777777777778
realtor	realtors	4	14	0.777777777778
restriction	restrictions	8	27	0.771428571429
regulation	regulations	8	27	0.771428571429
negotiation	negotiations	6	20	0.769230769231
bound	bounds	3	10	0.769230769231
commodity	commodities	6	20	0.769230769231
norm	norms	7	23	0.766666666667
eye	eyes	119	391	0.766666666667
investigator	investigators	4	13	0.764705882353
ethic	ethics	4	13	0.764705882353
shoe	shoes	14	44	0.758620689655
flower	flowers	17	53	0.757142857143
neighbor	neighbors	13	40	0.754716981132
requirement	requirements	27	82	0.752293577982
absolute	absolutes	1	3	0.75
salon	salons	1	3	0.75
reagent	reagents	1	3	0.75
suitor	suitors	1	3	0.75
outburst	outbursts	2	6	0.75
mammal	mammals	1	3	0.75
critter	critters	1	3	0.75
final	finals	1	3	0.75
auditor	auditors	1	3	0.75
leaflet	leaflets	1	3	0.75
triplet	triplets	1	3	0.75
wandering	wanderings	1	3	0.75
beneficiary	beneficiaries	1	3	0.75
prop	props	2	6	0.75
striving	strivings	1	3	0.75
bruise	bruises	2	6	0.75
ditty	ditties	1	3	0.75
down	downs	1	3	0.75
furnishing	furnishings	3	9	0.75
abstract	abstracts	1	3	0.75
nuance	nuances	1	3	0.75
pacer	pacers	1	3	0.75
yacht	yachts	1	3	0.75
ramification	ramifications	1	3	0.75
concessionaire	concessionaires	2	6	0.75
hinge	hinges	1	3	0.75
sailboat	sailboats	1	3	0.75
cardinal	cardinals	1	3	0.75
pebble	pebbles	1	3	0.75
hostage	hostages	1	3	0.75
rendition	renditions	1	3	0.75
nostril	nostrils	1	3	0.75
supermarket	supermarkets	1	3	0.75
destroyer	destroyers	1	3	0.75
robber	robbers	2	6	0.75
claw	claws	1	3	0.75
crystallite	crystallites	1	3	0.75
extract	extracts	1	3	0.75
underwriter	underwriters	1	3	0.75
backyard	backyards	1	3	0.75
barbarian	barbarians	1	3	0.75
practitioner	practitioners	2	6	0.75
drier	driers	1	3	0.75
finding	findings	11	33	0.75
authorization	authorizations	2	6	0.75
grocer	grocers	1	3	0.75
barrack	barracks	1	3	0.75
sonata	sonatas	1	3	0.75
vault	vaults	2	6	0.75
mystic	mystics	1	3	0.75
grower	growers	1	3	0.75
shareholder	shareholders	1	3	0.75
contributor	contributors	2	6	0.75
precept	precepts	1	3	0.75
query	queries	1	3	0.75
picker	pickers	1	3	0.75
win	wins	1	3	0.75
chant	chants	1	3	0.75
pajama	pajamas	1	3	0.75
carrot	carrots	1	3	0.75
robot	robots	1	3	0.75
memoir	memoirs	1	3	0.75
franc	francs	1	3	0.75
horseman	horsemen	1	3	0.75
probe	probes	1	3	0.75
camper	campers	3	9	0.75
competitor	competitors	3	9	0.75
recrimination	recriminations	1	3	0.75
gust	gusts	1	3	0.75
rein	reins	3	9	0.75
admonition	admonitions	1	3	0.75
explosive	explosives	1	3	0.75
overture	overtures	1	3	0.75
controller	controllers	1	3	0.75
seeker	seekers	1	3	0.75
emerald	emeralds	2	6	0.75
abolitionist	abolitionists	1	3	0.75
bookshelf	bookshelves	1	3	0.75
jewel	jewels	1	3	0.75
egg	eggs	12	35	0.744680851064
sale	sales	44	125	0.739644970414
employee	employees	23	65	0.738636363636
nail	nails	5	14	0.736842105263
symptom	symptoms	5	14	0.736842105263
feather	feathers	5	14	0.736842105263
official	officials	20	56	0.736842105263
citizen	citizens	28	78	0.735849056604
bomber	bombers	8	22	0.733333333333
